agency,state,state_control,now_part_of,last_ruler
Annexed during the British Raj,Vallabhipura,Princely state,,
Annexed during the British Raj,Manipur,Princely state,,
Annexed during the British East India Company era,Carnatic,Princely state,,
Annexed during the British East India Company era,Sivagangai,Princely state,,
Annexed during the British East India Company era,Guler,Princely state,,
Annexed during the British East India Company era,Jaitpur,Princely state,,
Annexed during the British East India Company era,Jalaun,Princely state,,
Annexed during the British East India Company era,Jaswan,Princely state,,
Annexed during the British East India Company era,Jhansi,Princely state,,
Annexed during the British East India Company era,Kangra,Princely state,,
Annexed during the British East India Company era,Kumaon,Princely state,,
Annexed during the British East India Company era,Lakhahi,Princely state,,
Annexed during the British East India Company era,Kutlehar,Princely state,,
Annexed during the British East India Company era,"Punjab,Multan",Princely state,,
Annexed during the British East India Company era,Nagpur,Princely state,,
Annexed during the British East India Company era,Nurpur,Princely state,,
Annexed during the British East India Company era,Oudh,Princely state,,
Annexed during the British East India Company era,Ramgarh,Princely state,,
Annexed during the British East India Company era,Satarastate,Princely state,,
Annexed during the British East India Company era,Sambalpur,Princely state,,
Annexed during the British East India Company era,Siba,Princely state,,
Annexed during the British East India Company era,Tanjore,Princely state,,
